"social","econ","service","immigration","education","destination","candidate","id","age","gender","ideology","likely","interest","aus","can","us"
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,118,20,"Male",3,5,6,5,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,119,21,"Female",5,7,2,5,6,6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,120,19,"Male",5,4,6,6,6,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,121,19,"Female",7,2,7,2,2,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,122,22,"Female",4,6,7,5,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,123,30,"Male",5,5,5,5,4,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,124,20,"Male",6,3,7,7,7,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,125,22,"Male",4,4,7,6,7,7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,1,126,25,"Female",3,7,7,5,6,3
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,127,26,"Female",3,7,6,5,6,2
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,128,23,"Male",3,6,6,6,7,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,129,20,"Male",4,4,6,5,6,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,130,21,"Female",5,5,6,5,6,4
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,131,20,"Other",2,3,4,5,6,3
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,1,132,21,"Female",3,4,6,3,3,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,133,27,"Female",2,6,5,5,6,3
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,1,134,19,"Female",4,7,3,6,6,4
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,135,19,"Male",3,3,4,4,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,136,20,"Male",4,3,4,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,137,22,"Male",4,5,7,5,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,138,40,"Male",5,7,4,7,7,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,139,20,"Male",6,7,4,5,7,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,140,22,"Female",3,4,5,4,5,3
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,141,26,"Male",7,7,7,6,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,142,22,"Female",5,3,7,5,6,7
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,143,21,"Male",4,3,5,3,7,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,144,19,"Male",2,2,5,5,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,145,21,"Male",4,3,6,6,6,4
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,146,25,"Female",4,6,7,5,6,7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,1,147,49,"Female",4,7,7,7,7,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,1,148,33,"Female",3,4,5,5,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,149,51,"Female",7,2,2,7,7,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,150,30,"Male",5,3,5,5,6,7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,151,25,"Female",4,6,5,5,5,4
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,152,47,"Female",8,4,7,6,2,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,1,153,45,"Female",6,7,2,6,6,3
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,1,154,25,"Female",2,2,6,5,6,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,155,57,"Male",7,7,1,7,6,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,156,30,"Male",7,4,3,5,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,157,24,"Female",2,6,7,6,7,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,158,28,"Male",3,5,5,5,6,4
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,159,23,"Female",7,6,7,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,160,20,"Male",3,2,5,5,5,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,161,21,"Female",5,2,3,5,6,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,1,162,40,"Male",2,3,5,5,6,3
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,163,22,"Female",4,7,6,6,6,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,1,164,30,"Female",4,4,5,4,4,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,165,35,"Female",2,4,5,5,7,3
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,166,23,"Female",4,2,7,3,5,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,1,167,21,"Female",5,7,7,6,6,6
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,168,23,"Female",4,6,7,7,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",0,1,169,42,"Female",5,6,6,5,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,170,26,"Female",6,5,5,4,7,2
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,171,29,"Male",2,4,7,4,5,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,172,68,"Male",5,2,2,6,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,1,173,21,"Male",3,7,7,6,6,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,1,174,49,"Female",2,7,7,4,7,1
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,1,175,39,"Male",4,2,2,6,6,4
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,176,21,"Female",4,7,1,3,4,3
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,1,177,23,"Female",4,2,5,5,6,2
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,178,20,"Male",4,7,7,6,7,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,1,179,20,"Female",3,4,5,5,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,1,180,21,"Female",2,7,7,6,7,5
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,181,20,"Male",6,7,3,6,5,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,1,182,21,"Male",7,4,3,6,2,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,1,183,19,"Male",7,2,7,6,6,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,1,184,20,"Female",3,5,6,6,6,2
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,1,185,26,"Female",0,6,6,6,6,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,1,186,22,"Female",5,5,5,7,7,7
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,187,23,"Female",7,5,6,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,1,188,25,"Female",2,6,7,4,6,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,1,189,27,"Female",5,5,6,6,6,5
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,190,22,"Male",4,7,7,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,1,191,20,"Male",4,6,5,6,7,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,1,192,28,"Male",5,4,6,7,6,4
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,1,193,21,"Female",6,7,6,4,5,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,1,194,28,"Male",8,6,6,5,6,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,1,195,24,"Male",6,4,5,5,7,6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,1,196,55,"Male",7,6,7,6,1,7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",0,2,1,30,"Male",5,2,5,6,4,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,2,2,30,"Female",2,5,5,4,4,1
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,2,3,20,"Female",7,7,NA,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,4,21,"Female",5,3,5,4,4,6
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,5,24,"Male",6,7,7,6,5,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,2,6,20,"Male",0,7,7,4,4,1
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,2,7,23,"Female",6,4,5,4,5,6
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,8,20,"Male",2,6,5,7,7,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 90th Percentile",1,2,9,22,"Female",3,6,6,5,5,2
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,2,10,19,"Male",5,7,7,6,4,4
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,2,11,19,"Male",2,3,6,3,4,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,2,12,26,"Male",3,2,4,5,6,4
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,13,25,"Female",2,7,7,6,7,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,2,14,45,"Female",3,7,2,6,6,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,2,15,31,"Female",3,7,7,7,7,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,2,16,31,"Female",5,7,7,5,5,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,2,17,19,"Male",5,6,6,5,5,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,18,31,"Female",3,3,7,6,5,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,19,33,"Male",5,6,6,5,6,7
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,2,20,19,"Female",3,3,6,6,6,5
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,2,21,28,"Female",4,7,7,5,6,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,2,22,19,"Male",3,2,5,5,6,6
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,2,23,20,"Female",6,6,3,3,4,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,2,24,31,"Female",1,7,7,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,2,25,21,"Female",5,7,3,3,5,6
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,2,26,22,"Female",5,2,5,5,6,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",1,2,27,22,"Female",4,7,5,5,7,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,2,28,28,"Male",4,5,6,5,5,6
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",1,2,29,23,"Male",5,7,7,7,7,7
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,2,30,27,"Male",2,7,7,7,6,5
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,2,31,27,"Female",4,7,7,7,6,4
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,2,32,34,"Female",3,3,5,5,6,4
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",0,2,33,23,"Male",6,7,4,6,6,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,2,34,27,"Female",6,7,7,6,5,1
"Basic hourly minimum wage","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,2,35,20,"Male",0,6,7,6,7,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,36,38,"Female",5,4,5,6,6,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,2,37,20,"Male",1,4,5,5,6,2
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,2,38,34,"Male",4,5,7,5,5,4
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",0,2,39,24,"Male",0,6,7,1,3,1
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",0,2,40,21,"Male",4,7,6,5,7,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 4%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,41,24,"Male",7,7,7,7,7,7
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 60th Percentile",0,2,42,24,"Female",3,3,6,1,2,2
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,2,43,40,"Male",7,4,6,6,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,2,44,20,"Female",4,4,7,2,6,6
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",1,2,45,27,"Female",5,6,6,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 60th Percentile",1,2,46,22,"Female",6,6,6,6,6,6
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",1,2,47,24,"Male",3,5,6,5,5,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,48,24,"Male",4,5,6,6,5,7
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",1,2,49,21,"Female",1,6,7,4,6,1
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,2,50,29,"Female",6,6,6,5,4,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 90th Percentile",0,2,51,20,"Male",8,7,7,5,6,4
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 50th Percentile","Change in visa processing centres","Average international ranking of universities: 60th Percentile",1,2,52,33,"Female",7,2,3,4,5,3
"Generous guaranteed monthly family allowance","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,2,53,21,"Male",3,4,6,7,6,5
"Basic hourly minimum wage","Annual GDP Growth of 6%","Average international ranking of service salaries: 90th Percentile","Implementation of point-system","Average international ranking of universities: 40th Percentile",1,2,54,26,"Male",6,7,7,5,6,3
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 50th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 90th Percentile",0,2,55,23,"Male",3,6,7,6,5,3
"Basic hourly minimum wage","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,2,56,25,"Female",5,7,7,6,6,5
"No state minimum wage or income support","Annual GDP Growth of 4%","Average international ranking of service salaries: 90th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",0,2,57,26,"Male",5,3,2,1,1,5
"No state minimum wage or income support","Annual GDP Growth of 2%","Average international ranking of service salaries: 70th Percentile","Change in visa processing centres","Average international ranking of universities: 40th Percentile",1,2,58,19,"Female",1,3,4,5,5,3
"No state minimum wage or income support","Annual GDP Growth of 6%","Average international ranking of service salaries: 70th Percentile","Deportation of all illegal immigrants","Average international ranking of universities: 40th Percentile",0,2,59,21,"Male",7,6,6,7,5,6
